description,category
office mein sabke liye order kiya this month done cleared this month cleared,food
ordered new chairs for team done today cleared done,shopping
Project milestone payment cleared today this month,salary
Consulting fee received this month today today,salary
snacks liye done done today cleared this month,food
pharmcy this month done,healthcare
IKEA office furniture today,shopping
Professional tax done cleared cleared,misc
restraunt dinner this month,food
back pain treatment ongoing this month done,healthcare
stationary purchase done this month,shopping
annual maintenance of AC this month today done done,utilities
Google Workspace today,subscriptions
interstate business visit this month this month done this month,travel
repiar cost cleared done this month cleared this month,misc
Jio prepaid 299 cleared done this month done,utilities
Hotstar annual done cleared today cleared,entertainment
Mobile accessories done done this month this month this month,shopping
bought reference books for project this month today done cleared,education
went out with client for dinner today today,food
booked flights for client meeting done cleared today,travel
client sent money for the job cleared this month this month this month,salary
Printer cartridge cleared today done today,shopping
random office expenses this week this month,misc
small stuff that adds up today cleared,misc
monthly medicines from pharmacy cleared today done this month,healthcare
Practo consultation cleared today cleared,healthcare
repair this month this month this month cleared,misc
doctor this month cleared,healthcare
Zepto veggies today today cleared,food
hospital gaye this month today,healthcare
paid for skill upgrade training,education
Google Workspace this month done today,subscriptions
uber cleared this month,transport
upskilling budget used this month this month cleared cleared,education
train to the city center today today done done this month,transport
workshop done this month cleared cleared done,education
annual maintenance of AC this month today done this month cleared today this month cleared,utilities
Society maintenance cleared this month,utilities
brought food for the whole floor done cleared done,food
Blinkit instant order today,food
metro card bharwaya this month today cleared this month,transport
transpotation cost done,transport
Society maintenance done,utilities
went out with client for dinner today this month cleared,food
trip today this month cleared,travel
basement storage monthly fee this month,rent
Uber cab to airport done today,transport
paani ka bill cleared today,utilities
Amazon office supplies cleared today done today today this month,shopping
Co-working space fee today this month,rent
Wholesale goods bought this month done,raw_material
generator fuel for power cut this month,utilities
Udemy course purchase done,education
breakfast at the station done today done,food
ordered food for working late cleared done done today,food
saman kharida done done today,shopping
Weekend outing cleared cleared,entertainment
Zepto veggies today cleared done,food
dinner done,food
annual maintenance of AC done done this month done,utilities
paid the team for this month done,salary
movie this month done today,entertainment
PS5 game purchase,entertainment
monthly SaaS charges done today done,subscriptions
Blinkit instant order done,food
online shopping for the office done today,shopping
paani ka bill today this month,utilities
bought milk and bread from nearby store this month today this month done today,food
stationary purchase this month cleared cleared this month,shopping
dinner done this month today,food
team attended a webinar done done done,education
Advance tax this month,misc
Tata Power monthly bill today this month this month today today done cleared,utilities
medicne purchase,healthcare
Library subscription today today this month today,education
Coursera subscription done today this month cleared,education
material this month today,raw_material
Escape room this month done done done,entertainment
Airbnb stay Pune this month,travel
Toll plaza charge cleared today,transport
saas subscription done,subscriptions
employee medical allowance cleared this month done,healthcare
chhote mote kharche today,misc
Commercial space rent done done,rent
bought milk and bread from nearby store this month,food
clearing the petty cash,misc
ad hoc repairs and fixes today cleared done,misc
promoting the new product line,marketing
yaar ke saath bahar khaya this month cleared cleared this month,food
end of month cleanup expenses this month cleared cleared done,misc
bought reference books for project done cleared,education
Website development payment,salary
software plan done,subscriptions
office mein sabke liye order kiya this month,food
Conference travel Delhi,travel
AWS monthly bill today done cleared,subscriptions
office mein sabke liye order kiya,food
entertanment today cleared,entertainment
employee medical allowance cleared done,healthcare
office rent today today this month,rent
sponsored an employee course this month,education
Educational software done today this month,education
office parking space rent today,rent
Visa fee today this month,travel
Content creation fee done cleared cleared,marketing
went out with client for dinner cleared today this month today done,food
team attended a webinar done today this month,education
Eye checkup cleared,healthcare
health cleared,healthcare
Escape room this month done this month,entertainment
Contract staff wages today,salary
bought books for office library this month cleared cleared,education
monthly SaaS charges done this month,subscriptions
gas connection recharge done today this month,utilities
MakeMyTrip package today,travel
Vi mobile bill done cleared this month cleared,utilities
clearing the petty cash done done today,misc
office rent today this month,rent
sabzi mandi se kharide today this month,food
Uber cab to airport this month cleared this month,transport
Stock purchase today,raw_material
Practo consultation cleared this month cleared this month,healthcare
Freelance project completed today,salary
ola this month today,transport
overnight stay for project,travel
swiggy ordr this month,food
trade fair attendance today this month cleared cleared cleared this month,travel
evening mein chai pi office mein today today,food
shopping ki cleared this month cleared this month today,shopping
cab kiya office ke liye today cleared,transport
bijli ka bill this month cleared this month,utilities
doctor this month today done cleared,healthcare
new sim card for office staff cleared done done,utilities
Mobile accessories done done this month cleared,shopping
employee medical allowance this month done done cleared,healthcare
chai aur nashta today done today,food
rented a car for the week done this month this month today,transport
tech accessories restocked cleared this month cleared cleared,shopping
inventory topped up before festival today done,raw_material
office ka khana,food
stock bharwaya this month this month,raw_material
SEO work for website done today today done,marketing
Bulk order material this month,raw_material
miscelanious this month,misc
travell expense cleared done,transport
Dropbox business done today this month,subscriptions
Consulting fee received this month today,salary
ordered new chairs for team done today cleared cleared,shopping
Office electricity cleared done cleared,utilities
PS5 game purchase done cleared,entertainment
Bowling alley cleared today cleared today,entertainment
Microsoft 365,subscriptions
ola cleared this month this month cleared,transport
hotel for conference stay cleared this month done this month,travel
Google Workspace this month done this month,subscriptions
Train ticket Mumbai done,transport
shoping this month cleared cleared,shopping
Doctor visit fee done,healthcare
first of the month kiraya sorted this month this month today cleared done,rent
monthly medicines from pharmacy done done done cleared cleared,healthcare
random charges this week today done,misc
random charges this week today this month today this month today this month,misc
Canva Pro this month this month today cleared today,subscriptions
amazone order today,shopping
material this month,raw_material
Inventory restock this month this month done done today,raw_material
dukaan ka kiraya,rent
flight today done today,travel
PVR movie tickets this month done cleared,entertainment
Client visit Hyderabad this month,travel
rapido this month this month,transport
Flight ticket Bangalore cleared today done,travel
bought milk and bread from nearby store this month today this month cleared today,food
ordered new chairs for team done cleared,shopping
Swiggy dinner order today,food
office mein sabke liye order kiya this month done today done,food
shopping today,shopping
Train ticket Mumbai,transport
Professional tax done today,misc
recharge metro for the week today,transport
monthly salary credited to account today done done cleared done,salary
received outstanding from old project,salary
petrol,transport
GitHub Pro today,subscriptions
yaar ke saath bahar khaya this month today,food
cleared 2 months pending bill done done,utilities
Influencer collaboration cleared done this month,marketing
Ola ride to client today,transport
Nykaa products today,shopping
employee medical allowance this month done today today,healthcare
Inventory restock this month cleared cleared cleared done,raw_material
Uber cab to airport this month done today,transport
Big Basket groceries today today this month this month,food
Office maintenance today cleared,misc
Books from Amazon done this month cleared cleared cleared,education
ads this month cleared today,marketing
employee medical allowance this month this month done,healthcare
Metro card recharge today this month,transport
Diagnostic lab test this month this month,healthcare
cleared 2 months pending bill this month cleared today cleared,utilities
bike petrol topped up done this month this month,transport
evening mein chai pi office mein done,food
ran ads campaign this month done,marketing
grocrey from dmart today today cleared cleared this month cleared,food
annual maintenance of AC today today today,utilities
booked flights for client meeting done cleared cleared this month,travel
paani ka bill cleared cleared done this month,utilities
lunch cleared cleared this month,food
monthly SaaS charges done today done done,subscriptions
dawa kharidi cleared,healthcare
travel cleared done,travel
trade fair attendance today this month cleared,travel
ordered food for working late cleared done done,food
misc,misc
outing cleared this month,entertainment
Content creation fee this month today this month,marketing
safar ka kharcha today,travel
Inventory restock this month cleared done,raw_material
Big Basket groceries today today today,food
Books from Amazon done today today,education
workshop today cleared,education
Coursera subscription done,education
trade fair attendance cleared,travel
Flipkart laptop bag this month done today cleared,shopping
booked a cab for late night return today,transport
Big Basket groceries,food
bought books for office library done,education
pantry supplies cleared done,food
materials for the big project this month cleared done,raw_material
cleared outstanding vendor dues today,raw_material
DMart monthly grocery today this month,food
pharmcy done this month this month,healthcare
Content creation fee this month today cleared cleared,marketing
physio session after injury this month today,healthcare
paid for skill upgrade training done done today,education
office water purifier AMC this month,utilities
monthly medicines from pharmacy done today today,healthcare
Inventory restock this month cleared cleared cleared,raw_material
new equipment from online store today,shopping
petrol refill at petorl pump cleared today today today cleared,transport
Blood test this month done,healthcare
Flipkart laptop bag this month today,shopping
hospital gaye done,healthcare
annual maintenance of AC this month today done cleared cleared,utilities
DMart monthly grocery today cleared cleared,food
random charges this week today this month today this month,misc
hotel for conference stay this month,travel
interstate business visit cleared today today,travel
hospital gaye this month,healthcare
Monthly retainer received this month cleared this month,salary
Petrol refill at HP cleared this month cleared,transport
cab kiya office ke liye today,transport
Bulk order material today today,raw_material
cold coffee for two today this month,food
AWS monthly bill today done,subscriptions
payment aayi client se done,salary
promotion cleared done done this month,marketing
wifi router plan renewed cleared cleared,utilities
anay kharcha,misc
uber cleared cleared,transport
medicine today this month,healthcare
team lunch after meeting today,food
Office chair Amazon cleared today,shopping
Slack paid plan,subscriptions
Piped gas bill MGNGL done this month this month done cleared,utilities
incentive payment processed cleared this month today,salary
Wholesale goods bought this month,raw_material
tax this month cleared this month this month this month,misc
levelling up the team skills this month done,education
brought food for the whole floor today,food
co-working subscription cleared done,rent
Monthly retainer received done done done cleared,salary
upskilling budget used this month cleared done,education
train to the city center today today done done,transport
Training workshop fee done,education
Printing cost this month,misc
Nykaa products this month this month done this month this month,shopping
auto renewal hit the account cleared,subscriptions
bought milk and bread from nearby store this month today this month,food
rentt payment cleared this month,rent
Shop rental payment cleared,rent
lunch this month,food
paani ka bill today done cleared done today,utilities
Flight ticket Bangalore today today,travel
Weekend outing cleared cleared this month,entertainment
ghar ka bill done,utilities
PVR movie tickets this month cleared this month this month done,entertainment
Friday movie night this month,entertainment
chai,food
fuel for delivery van,transport
Monthly retainer received this month,salary
Zomato lunch delivery done done this month,food
outing today,entertainment
Freelancer payment cleared,salary
Health insurance premium cleared,healthcare
weekly vegetable haul this month,food
trade fair attendance today this month today done done,travel
outing,entertainment
grocrey from dmart today this month today today cleared this month,food
gym fees for the month cleared today,healthcare
Client project payment received this month cleared cleared,salary
replacement parts for equipment done today,shopping
SEO work for website done today today done today,marketing
physio session after injury done,healthcare
travell expense,transport
bought supplies for the office this month,shopping
gas connection recharge done done cleared,utilities
courier for sending documents cleared,misc
Keyboard mouse set done cleared,shopping
Swiggy dinner order done done cleared,food
saas subscription,subscriptions
Printer cartridge cleared today done today cleared,shopping
grocrey from dmart today this month today today cleared today this month done,food
Influencer collaboration cleared done today today,marketing
Staples stationery today cleared this month done,shopping
Contract staff wages cleared cleared cleared,salary
random charges this week today this month today this month this month this month this month,misc
DMart monthly grocery today cleared this month,food
Blood test this month cleared today,healthcare
breakfast this month,food
amazon this month today today,shopping
ordered food for working late cleared this month cleared today today done,food
production input materials cleared done this month,raw_material
Monthly retainer received,salary
Studio rent payment today,rent
team celebratory dinner cleared this month done done,food
Client project payment received this month cleared today,salary
rent paymnt cleared today today,rent
Train ticket Mumbai this month cleared done,transport
employee medical allowance cleared cleared done cleared,healthcare
exhibition in another city,travel
Trello Gold done done cleared this month,subscriptions
grabbed a bite near office done,food
khana order kiya today today,food
auto renewal hit the account cleared this month,subscriptions
ofice rent this month today this month,rent
yaar ke saath bahar khaya this month cleared cleared this month done done,food
end of month cleanup expenses this month done this month,misc
Warehouse rent this month done cleared this month,rent
train to the city center today today,transport
course this month,education
BSNL landline done this month this month,utilities
ghar ka bill done this month,utilities
trade fair attendance today this month cleared cleared cleared,travel
Consulting fee received this month,salary
Flight ticket Bangalore today today cleared today today today this month,travel
bijli wale ko diya,utilities
ran ads campaign this month cleared,marketing
Amazon Prime renewal done today,entertainment
ordered new chairs for team,shopping
team attended a webinar done today today,education
zomatto food today,food
ordered food for working late cleared cleared,food
lunch mein kuch special kiya cleared,food
misc this month,misc
khana order kiya done cleared,food
hospital today done,healthcare
Society maintenance cleared cleared this month,utilities
ordered for the night shift this month today,food
cofee shop cleared this month,food
Generator diesel,utilities
Influencer collaboration today cleared,marketing
Flight ticket Bangalore cleared done done,travel
Zepto veggies cleared today,food
Monthly payroll cleared,salary
sourced from new vendor this time done this month,raw_material
shopping today this month,shopping
subscribed to binge something new,entertainment
Zepto veggies cleared cleared today cleared,food
ad hoc repairs and fixes today cleared,misc
annual maintenance of AC done done,utilities
Uber cab to airport this month cleared,transport
Big Basket groceries today done done,food
ordered food for working late cleared done today cleared,food
Ola ride to client this month done done cleared,transport
shopping ki cleared this month cleared this month today this month cleared,shopping
small stuff that adds up cleared this month,misc
Friday movie night,entertainment
Blood test this month done this month,healthcare
bought reference books for project this month today done,education
paid the light bill online today,utilities
Society maintenance done this month,utilities
Professional tax done,misc
levelling up the team skills today,education
ordered for the night shift done today,food
received outstanding from old project done today,salary
Amazon office supplies done today,shopping
weekend trip with family cleared,entertainment
Consultant fee paid today done,salary
DMart monthly grocery today cleared this month cleared,food
ordered for the night shift this month today done cleared,food
chai cleared cleared this month this month cleared,food
Zomato lunch delivery done this month,food
workshop done done,education
monthly SaaS charges,subscriptions
training today this month this month,education
Influencer collaboration,marketing
maitenance today,misc
saman kharida done done today today,shopping
Co-working space fee this month,rent
Subway lunch cleared,food
office rent,rent
kaam ka paisa mila cleared today,salary
Uber cab to airport this month done,transport
bought supplies for the office cleared done,shopping
production input materials cleared,raw_material
Pamphlet distribution this month cleared,marketing
Eye checkup cleared this month done,healthcare
doctor ke paas gaya,healthcare
Printing cost cleared done,misc
Commercial space rent done,rent
Amazon office supplies today done,shopping
subscribed to streaming service this month today cleared this month this month today cleared today,entertainment
client sent money for the job cleared this month this month,salary
Diagnostic lab test done this month,healthcare
movie this month cleared today,entertainment
Blood test,healthcare
App project payment this month done,salary
Cafe Coffee Day this month cleared,food
repiar cost cleared done this month,misc
Jio Fiber broadband today,utilities
Studio rent payment cleared this month,rent
Bulk order material this month cleared,raw_material
training today done done today done,education
saman kharida done this month today cleared this month today,shopping
Meesho order cleared cleared done,shopping
movie this month done today this month today cleared,entertainment
medicine,healthcare
team attended a webinar today today cleared cleared this month today,education
Big Basket groceries today today done,food
drove to the client site today today cleared today today cleared,transport
Project milestone payment cleared cleared cleared today done done done,salary
Content creation fee this month,marketing
Gaming recharge BGMI cleared cleared,entertainment
Doctor visit fee today,healthcare
prime today this month today,entertainment
team attended a webinar today cleared this month cleared,education
AWS monthly bill this month today cleared today,subscriptions
advance rent to landlord done,rent
Dropbox business cleared this month,subscriptions
Piped gas bill MGNGL done this month this month done,utilities
snacks today,food
rent today,rent
lunch this month done this month cleared,food
Educational software done today today this month this month today,education
annual ad budget utilized cleared cleared done,marketing
interstate business visit today today this month today,travel
PVR movie tickets cleared this month,entertainment
drove to the client site today today cleared today today,transport
Travel insurance done cleared this month,travel
end of month cleanup expenses this month this month,misc
movie this month cleared,entertainment
Bowling alley cleared done,entertainment
halwai se mithai li diwali ke liye done cleared,food
paid for skill upgrade training cleared this month this month cleared,education
monthly salary credited to account today today done,salary
brought food for the whole floor done done done,food
ordered food for working late cleared this month cleared this month this month cleared,food
Uber cab to airport done,transport
amazone order done cleared,shopping
annual ad budget utilized done cleared this month done,marketing
hospital gaye this month done this month,healthcare
interstate business visit cleared done done,travel
bought supplies for the office this month done,shopping
software plan today,subscriptions
Apollo pharmacy today,healthcare
books this month,education
electricty bill cleared done,utilities
Flight ticket Bangalore today today cleared,travel
Stock purchase this month this month this month,raw_material
brand visibility spend done,marketing
office ka khana done today,food
office rent done done,rent
boadband bill,utilities
Laptop stand done today,shopping
booked a cab for late night return cleared done,transport
random office expenses this week,misc
Visa fee today cleared,travel
Microsoft 365 today,subscriptions
Packaging material,raw_material
team attended a webinar this month this month,education
shared auto with a colleague this month this month cleared today,transport
physio session after injury this month cleared,healthcare
Contract staff wages cleared this month done,salary
Uber cab to airport today,transport
received outstanding from old project done this month,salary
grocrey from dmart today today cleared cleared this month done,food
workshop done today,education
upskilling budget used this month today done,education
pantry supplies cleared this month,food
petrol this month,transport
cheezein kharidi,shopping
grabbed a bite near office done this month cleared,food
Warehouse rent,rent
bank fees for the month today,misc
monthly salary credited to account today done this month,salary
Zomato lunch delivery this month this month cleared,food
Coursera subscription this month today,education
Tata Power monthly bill today done,utilities
Zoho CRM subscription today cleared done,subscriptions
Facebook Ads payment this month,marketing
Monthly office space cleared,rent
Educational software done cleared cleared,education
grocrey from dmart today done done,food
Co-working space fee this month done today,rent
Piped gas bill MGNGL done today,utilities
cofee shop cleared,food
yaar ke saath bahar khaya,food
broadband,utilities
BookMyShow concert,entertainment
Uber cab to airport done done this month,transport
water bill done cleared done,utilities
shared auto with a colleague,transport
BSES electricity bill this month,utilities
cleared rent dues done this month done,rent
sourced from new vendor this time done this month done this month done,raw_material
saman kharida cleared this month,shopping
Nykaa products this month this month,shopping
saman kharida done this month today cleared this month,shopping
workshop today cleared this month this month done,education
Influencer collaboration today,marketing
bike petrol topped up today this month,transport
Monthly retainer received done done done,salary
Advance tax this month this month done this month done today this month,misc
first of the month kiraya sorted this month this month today today,rent
chai aur nashta today done,food
fruits and vegetables from local vendor done cleared this month,food
Professional tax this month,misc
paid the team for this month done cleared cleared this month,salary
annual ad budget utilized done cleared this month this month,marketing
subscribed to streaming service this month today,entertainment
khana order kiya today,food
Uber cab to airport this month cleared cleared this month,transport
Uber cab to airport this month cleared cleared done,transport
incentive payment processed today today,salary
Professional tax done cleared done done,misc
wages,salary
vendor today cleared this month done,raw_material
fruits and vegetables from local vendor today today,food
team lunch after meeting done done done,food
bank fees for the month,misc
software plan,subscriptions
return flight booked today,transport
quick meal before the meeting,food
Raw material purchase done today,raw_material
Influencer collaboration done,marketing
Coursera subscription today today cleared done,education
uber cleared cleared cleared today,transport
flight done,travel
supplier ko diya today this month,raw_material
office parking space rent this month this month,rent
chai done cleared,food
entertanment this month,entertainment
shoping,shopping
shared auto with a colleague done done today done,transport
security system monthly charge this month,utilities
Swiggy dinner order today today done,food
weekly vegetable haul done,food
Upwork withdrawal,salary
Figma team plan today this month,subscriptions
kiraya diya done,rent
evening snacks for the office today this month this month,food
Inventory restock this month this month done done,raw_material
monthly SaaS charges done cleared,subscriptions
subscribed to binge something new this month,entertainment
monthly salary credited to account this month done,salary
netflx subscription today cleared,entertainment
random office expenses this week this month done today,misc
promoting the new product line this month this month,marketing
office mein sabke liye order kiya this month done cleared,food
end of month cleanup expenses,misc
flight today today this month,travel
fun evening after a long sprint this month done,entertainment
Educational software cleared,education
cleared utility dues cleared,utilities
saman kharida done done today today cleared,shopping
nashte mein poha banana ke liye ingredients today this month cleared this month done,food
yaar ke saath bahar khaya cleared done,food
first of the month kiraya sorted this month this month today,rent
chai done today,food
misc done,misc
Meesho order this month today,shopping
Flight ticket Bangalore today today cleared today today today done cleared,travel
Supplier payment today this month,raw_material
training done done today cleared today,education
Travel insurance today today,travel
office water purifier AMC today cleared done,utilities
Amazon Prime renewal,entertainment
Uber cab to airport this month cleared done this month,transport
rapido today done,transport
rented a car for the week cleared today today,transport
primme video this month,entertainment
Flight ticket Bangalore today today cleared today today,travel
sourced from new vendor this time done,raw_material
amazon done cleared,shopping
Professional tax done cleared,misc
shared auto with a colleague today cleared this month,transport
Staples stationery today cleared this month done done,shopping
sourced from new vendor this time today cleared today today done,raw_material
Bank charges cleared,misc
PVR movie tickets this month cleared this month cleared,entertainment
Health insurance premium today,healthcare
subscribed to streaming service this month this month,entertainment
movie this month done today this month today,entertainment
security system monthly charge cleared done,utilities
Apollo pharmacy today today this month done cleared done,healthcare
Nykaa products today today,shopping
employee medical allowance,healthcare
dawai li cleared cleared,healthcare
SEO service payment,marketing
lunch bahar kiya cleared,food
salary diya staff ko cleared this month,salary
team account upgraded,subscriptions
rented a car for the week done this month,transport
random office expenses this week today,misc
fuel for delivery van today today done done,transport
Inventory restock this month this month done cleared cleared cleared done,raw_material
repair cleared done,misc
small stuff that adds up today cleared this month cleared done,misc
prime today done,entertainment
vision correction glasses done today done,healthcare
paid for skill upgrade training cleared done this month,education
Consulting fee received cleared today,salary
breakfast at the station done done today today today,food
shared auto with a colleague done done today done this month,transport
Practo consultation cleared today cleared cleared this month,healthcare
chai aur nashta today done this month done,food
ordered new chairs for team done today today,shopping
Raw material purchase,raw_material
Coursera subscription this month this month this month cleared,education
miscelanious this month done,misc
ola auto booked early morning done cleared,transport
paid for digital marketing done done today done,marketing
Medicine purchase this month,healthcare
auto renewal hit the account done,subscriptions
Payment from ABC Corp cleared today today cleared,salary
Monthly retainer received cleared done done,salary
new equipment from online store today done,shopping
rented a car for the week today today,transport
Jio Fiber broadband cleared,utilities
office mein sabke liye order kiya today done done,food
evening snacks for the office today this month today,food
hotel for conference stay,travel
transpotation cost today,transport
Piped gas bill MGNGL done this month cleared today done today,utilities
Starbucks coffee cleared today today,food
medicne purchase cleared,healthcare
padhai ke liye kharcha this month,education
paid for the warehouse space this month,rent
saas subscription cleared done today,subscriptions
Coursera subscription this month this month this month today done,education
Blood test this month cleared,healthcare
flipkart today cleared,shopping
Influencer collaboration cleared done cleared,marketing
office ka khana done today done,food
bulk buy before the rate hike done,shopping
sabzi mandi se kharide this month,food
back pain treatment ongoing,healthcare
saas subscription cleared done today today today,subscriptions
stock bharwaya done,raw_material
maintanence charge,utilities
Zepto veggies,food
Uber cab to airport this month done done,transport
monthly travel pass done,transport
employee medical allowance cleared today,healthcare
movie outing approved by manager today this month today,entertainment
restraunt dinner cleared,food
payment aayi client se done this month,salary
renewed project management tool cleared done,subscriptions
physio session after injury cleared done,healthcare
repair cleared today,misc
Gym membership today,healthcare
PS5 game purchase done,entertainment
shared auto with a colleague done done today cleared,transport
paid the light bill online today done,utilities
incentive payment processed cleared,salary
pizza party for the launch this month this month,food
software plan this month today,subscriptions
safar ka kharcha,travel
Society maintenance cleared today done,utilities
Vendor payment cleared,raw_material
bulk order for the busy season,raw_material
Monthly retainer received done done today cleared,salary
gym fees for the month cleared done done today this month,healthcare
restocked inventory for next month today this month cleared,raw_material
halwai se mithai li diwali ke liye this month done,food
Monthly office space done done,rent
annual ad budget utilized done done done done cleared,marketing
Cafe Coffee Day this month,food
ofice rent this month today,rent
Piped gas bill MGNGL done this month this month done this month today,utilities
inventory this month this month today,raw_material
Apollo pharmacy done,healthcare
Email marketing tool done cleared,marketing
Printer cartridge cleared cleared,shopping
generator fuel for power cut cleared cleared cleared cleared,utilities
fun evening after a long sprint,entertainment
Tata Power monthly bill today this month done,utilities
Office chair Amazon done,shopping
office mein sabke liye order kiya this month done cleared this month,food
Hotstar annual done today,entertainment
paid the light bill online today today cleared,utilities
Office chair Amazon today,shopping
Bank charges this month cleared,misc
snacks liye done done today cleared cleared today,food
cleared 2 months pending bill this month cleared today done,utilities
generator fuel for power cut cleared cleared this month cleared done today,utilities
team attended a webinar done today this month cleared,education
Figma team plan cleared done done,subscriptions
Flipkart laptop bag this month this month cleared,shopping
Advance tax this month this month done this month done today today,misc
tech accessories restocked,shopping
nashte mein poha banana ke liye ingredients today today,food
Dominos pizza this month done,food
shared auto with a colleague done done today,transport
Co-working space fee this month done,rent
Jio Fiber broadband done this month done,utilities
Project milestone payment today this month,salary
inventory topped up before festival today today cleared,raw_material
Google Workspace this month done,subscriptions
office ka khana done done cleared done,food
brand visibility spend this month today,marketing
Freelancer payment,salary
training cleared cleared today,education
Uber cab to airport this month cleared this month cleared this month,transport
hotel for conference stay cleared,travel
booked a cab for late night return this month,transport
office drop arranged this month,transport
promotion cleared this month,marketing
brought food for the whole floor done cleared done today this month,food
Blood test today this month,healthcare
groccery shopping today this month this month this month,food
brought food for the whole floor done today today,food
hosptial bill today cleared cleared,healthcare
random office expenses this week today this month,misc
gas connection recharge done done cleared done done,utilities
maal kharida,raw_material
weekend trip with family cleared today cleared,entertainment
Notion team done today cleared,subscriptions
resturant lunch this month done this month,food
annual ad budget utilized done cleared,marketing
Amazon Prime renewal today cleared,entertainment
ran ads campaign this month done cleared cleared,marketing
Coursera subscription today this month done today today,education
Bowling alley done cleared,entertainment
bought reference books for project this month today cleared this month,education
annual maintenance of AC,utilities
turned on AC so bill was high cleared done done,utilities
cofee shop today,food
Trello Gold done done done,subscriptions
team attended a webinar today today cleared cleared this month,education
BSES electricity bill done,utilities
course kiya online cleared,education
repair cleared today done today,misc
Gaming recharge BGMI cleared done,entertainment
bike petrol topped up today this month this month,transport
Advance tax done done,misc
Vi mobile bill done cleared,utilities
Blood test this month cleared today done this month done,healthcare
Flight ticket Bangalore this month,travel
Studio rent payment cleared cleared cleared,rent
train to the city center,transport
team dinner and bowling after sprint done done this month cleared,entertainment
repiar cost cleared cleared,misc
monthly pantry restock cleared today cleared,food
bought reference books for project done today,education
breakfast at the station done today,food
turned on AC so bill was high cleared done,utilities
ordered food for working late cleared this month cleared this month cleared cleared,food
khana order kiya today this month done,food
Piped gas bill MGNGL today done,utilities
Flight ticket Bangalore today,travel
Staples stationery today cleared this month done done cleared,shopping
Influencer collaboration today this month,marketing
Packaging material cleared,raw_material
yaar ke saath bahar khaya cleared,food
received payment for last project today this month this month today today,salary
Medicine purchase done cleared this month,healthcare
auto cleared today,transport
light bill diya,utilities
marketing today today,marketing
Eye checkup today,healthcare
shopping ki cleared this month,shopping
Parking fee this month done cleared,transport
cold coffee for two today this month cleared today done,food
hospital gaye this month done this month this month,healthcare
ordered new chairs for team done,shopping
bike petrol topped up today,transport
turned on AC so bill was high cleared this month,utilities
monthly salary credited to account this month done cleared,salary
payment aayi client se done this month this month,salary
monthly SaaS charges done today,subscriptions
fuel for delivery van cleared,transport
Practo consultation today done,healthcare
vendor,raw_material
Weekend outing cleared cleared this month done done,entertainment
AWS monthly bill this month done cleared,subscriptions
groceries this month done,food
return flight booked today cleared cleared,transport
Swiggy dinner order done,food
Professional tax done today this month,misc
training today this month today,education
training done this month,education
spotify this month,entertainment
generator fuel for power cut done,utilities
cleared rent dues done today today,rent
evening snacks for the office cleared done,food
Ola ride to client today today,transport
Jio prepaid 299 today today today,utilities
tax today today,misc
Coursera subscription today today done this month this month,education
Bank charges this month,misc
bulk buy before the rate hike this month,shopping
bike petrol topped up today today done,transport
office parking space rent this month done,rent
Microsoft 365 done cleared,subscriptions
training,education
ads this month cleared cleared,marketing
Flight ticket Delhi cleared,transport
Eye checkup today done today,healthcare
grocrey from dmart today done done this month,food
workshop done this month,education
went out with client for dinner cleared done,food
Part time worker salary,salary
Monthly retainer received done done today,salary
movie this month done today this month,entertainment
Studio rent payment cleared cleared done,rent
random office expenses this week this month done,misc
sabzi mandi se kharide cleared done done,food
repair today this month,misc
Physiotherapy,healthcare
business trip reimbursement,travel
new sim card for office staff cleared cleared,utilities
drove to the client site today today cleared today today done,transport
Nykaa products this month today today today cleared,shopping
kiraya done this month,rent
bought milk and bread from nearby store this month today,food
Diagnostic lab test this month this month this month this month done,healthcare
subscribed to streaming service this month today this month,entertainment
Netflix subscription cleared this month,entertainment
Microsoft 365 done,subscriptions
annual plan cheaper than monthly this month done cleared this month,subscriptions
payment aayi client se,salary
AWS monthly bill done,subscriptions
Library subscription today cleared cleared cleared done cleared,education
karaoke night with team this month,entertainment
dawa kharidi this month this month cleared done cleared,healthcare
bought books for office library,education
payment received this month this month today,salary
auto renewal hit the account,subscriptions
MakeMyTrip package,travel
hotel for conference stay cleared done cleared today,travel
Office rent March this month,rent
other,misc
grocrey from dmart today this month today cleared,food
wifi router plan renewed cleared this month cleared cleared today,utilities
fruits and vegetables from local vendor done this month,food
co-working subscription cleared,rent
petrol refill at petorl pump cleared today,transport
monthly SaaS charges cleared today today,subscriptions
trip today,travel
evening snacks for the office today done this month,food
brought food for the whole floor done cleared today cleared done,food
mango shake and snacks this month,food
sourced from new vendor this time today cleared done,raw_material
InDrive cab today,transport
ordered for the night shift this month this month this month,food
SEO work for website done done today,marketing
subscribed to streaming service this month today done,entertainment
Flipkart laptop bag this month today cleared done,shopping
subscribed to streaming service this month today cleared this month,entertainment
Ola ride to client this month done done,transport
Hotstar annual today this month cleared,entertainment
Flight ticket Bangalore cleared done this month cleared cleared this month this month,travel
renewed project management tool cleared,subscriptions
went out with client for dinner cleared today this month today today done,food
Diagnostic lab test cleared cleared,healthcare
online shopping for the office cleared cleared today,shopping
bought milk and bread from nearby store done this month this month,food
Zoho CRM subscription today cleared done done,subscriptions
Metro card recharge cleared,transport
annual maintenance of AC this month today done this month cleared cleared this month,utilities
cofee shop,food
App project payment this month today done today,salary
